rank,ORF,GENE,Putative TOR pathway,1 week ,2 week ,5 week ,7 weeks,Norm_1,Norm_2,Norm_5,Norm_7,Norm,Description,Function,Localization
1,YCL025C,AGP1,*,1.940733958,9.676679643,8.265811788,245.6004401,1.851018921,9.292380921,7.882693334,235.3126007,252.487675,amino acid transport,amino acid transporter activity,plasma membrane
2,YJL129C,TRK1,,1.570524319,7.315182766,7.767504014,190.2258048,1.497923102,7.024668303,7.407482009,182.257527,196.6896773,potassium ion homeostasis,potassium ion transporter activity,plasma membrane
3,YIL094C,LYS12,*,1.801832857,9.420834228,6.906459899,145.0667305,1.718538853,9.046696126,6.586347089,138.9900996,154.6231428,lysine biosynthesis,isocitrate dehydrogenase activity,cytoplasm*
4,YDR019C,GCV1,,1.291409238,1.535741729,0.089664198,107.1895945,1.231710779,1.47475143,0.085508283,102.6995808,104.2598405,one-carbon compound metabolism*,glycine dehydrogenase (decarboxylating) activity,mitochondrion
5,YER091C-A,,,1.2341102,3.728811123,4.852029326,95.75130012,1.177060525,3.580725478,4.627138895,91.74041969,99.94828407,,,
6,YHR204W,MNL1,,2.044664525,9.678286788,6.558674478,69.37404998,1.950145051,9.29392424,6.254681441,66.46807357,82.01667925,ER-associated protein catabolism,carbohydrate binding,endoplasmic reticulum
7,YDL173W,,,1.002698055,5.399348568,5.623726884,38.79356404,0.956345956,5.184919359,5.363068451,37.16855899,47.7165468,biological_process unknown,molecular_function unknown,cytoplasm
8,YDL172C,,,1.027586182,6.454293191,6.122327805,32.52708079,0.98008357,6.197968013,5.838559335,31.16456946,43.2010968,,,
9,YLL007C,,,2.482489543,7.816200512,4.796177125,28.66636996,2.367730567,7.505788678,4.57387543,27.4655781,39.5452422,biological_process unknown,molecular_function unknown,cytoplasm
10,YGR057C,LST7,,1.413878048,2.986176102,2.43242433,34.78170722,1.348518177,2.867583392,2.319682028,33.32475292,38.51201834,vesicle-mediated transport*,protein transporter activity,vesicle coat
11,YGL197W,MDS3,,2.613757659,10.43196908,8.790219481,20.79216198,2.492930503,10.01767487,8.382794852,19.92120905,38.32167877,sporulation,molecular_function unknown,cytoplasm
12,YGR027C,RPS25A,,2.028067458,5.008797218,6.195165225,23.62046493,1.934315223,4.809878328,5.908020757,22.63103857,33.34893765,protein biosynthesis,structural constituent of ribosome,cytosolic small ribosomal subunit (sensu Eukarya)
13,YML121W,GTR1,*,1.145482923,2.472306113,0.974365868,29.61960718,1.092530254,2.374121186,0.929204237,28.37888562,31.68221104,phosphate transport,small monomeric GTPase activity,cytoplasm*
14,YHL034C,SBP1,,2.069893864,8.161845502,8.161352736,14.2726099,1.974208104,7.837706757,7.783075934,13.67475137,29.29553406,RNA metabolism,RNA binding,nucleolus
15,YLL013C,PUF3,,2.302045721,6.891546328,7.865482413,15.18018247,2.19562819,6.617856121,7.500919132,14.54430707,28.66308232,"mRNA catabolism, deadenylation-dependent",mRNA binding,cytoplasm
16,YBR077C,,,0.901459981,2.995574666,3.745261521,22.82981171,0.859787852,2.876608702,3.57166952,21.87350464,28.32178287,biological_process unknown,molecular_function unknown,cytoplasm*
